codigo_noticia,Quantidade de Chunks (Fragmentos),titulo_noticia,Justificativa
220824AGR_E,30,Povos e Comunidades tradicionais destaca a importância da luta coletiva na defesa dos territórios,Documento Completo/Relatório Longo
150324AGR_A,30,Ocupação do MST em Lagoa Santa intensifica luta pela reforma agrária em MG,Documento Completo/Relatório Longo
261124AGR_D,30,"Quilombolas de Araçuaí, Minas Gerais, denunciam tentativa de assassinato de lideranças",Documento Completo/Relatório Longo
010124AGR_B,30,"Esquerda precisa de um programa radical anticapitalismo, afirma Stédile",Documento Completo/Relatório Longo
310524AGR_F,30,PROGRAMA QUINTAIS DAS MARGARIDAS FORTALECE AUTONOMIA DAS MULHERES DO SEMIARIDO NORDESTINO,Documento Completo/Relatório Longo
031024AGR_A,30,"‘Os mandatos dos movimentos sociais estão colocando a política a serviço dos que mais precisam’  , diz dirigente sem terra",Documento Completo/Relatório Longo
290424AGR_A,29,MST ocupa a sede do Incra em Alagoas em protesto contra novo indicado de Lira,Documento Completo/Relatório Longo
150224AGR_F,29,Assentados se solidarizam com desabrigados em Cáceres,Documento Completo/Relatório Longo
140324AGR_G,29,CONTRAF-Brasil propõe um PAC da agricultura familiar ao governo federal,Documento Completo/Relatório Longo
270624AGR_A,29,Preparar jornada de luta para defender a Reforma Agrária O Movimento Popular de Luta (MPL) luta pela reforma agrária reunindo centenas defamílias,Documento Completo/Relatório Longo
090924AGR_A,29,Feira em Goiás aponta reforma agrária como saída para alimentação saudável e combate à fome,Documento Completo/Relatório Longo
080324AGR_D,29,Mulheres do MST protestam na embaixada de Israel no DF por cessar-fogo e fim do genocídio palestino,Documento Completo/Relatório Longo
270224AGR_C,29,"“Não adianta só oferecer mais crédito, é preciso incentivar a produção nacional”  , aponta Stédile",Documento Completo/Relatório Longo
070424AGR_A,29,"Em todo o país, Sem Terrinha se solidarizam com as crianças palestinas",Documento Completo/Relatório Longo
060824AGR_B,28,Fiocruz e Movimento dos Pequenos Agricultores realizam curso sobre agroecologia e biopoder camponês,Documento Completo/Relatório Longo
260324AGR_A,28,Governo Tarcísio muda o nome de assentamento do MST de Che Guevara para Irmã Dulce,Documento Completo/Relatório Longo
290224AGR_A,28,Assentamento do MST é referência em cursos de formação agroecológica no Rio Grande do Sul,Documento Completo/Relatório Longo
